type,pos,headword,freq,range
available,,,498,1
avalanche,,,2,1
avalos,,,10,1
ave,,,114,1
avenge,,,4,1
avenged,,,4,1
avenue,,,270,1
avenues,,,20,1
average,,,314,1
averaged,,,2,1
averages,,,14,1
averaging,,,10,1
averell,,,2,1
aversion,,,2,1
averted,,,2,1
aviation,,,4,1
avicide,,,2,1
avid,,,14,1
avila,,,2,1
aviles,,,36,1
avis,,,14,1
avocado,,,2,1
avocation,,,2,1
avoid,,,30,1
avoidance,,,2,1
avoided,,,2,1
avon,,,2,1
awaited,,,4,1
awaiting,,,14,1
awaits,,,2,1
awakens,,,2,1
award,,,324,1
awarddave,,,2,1
awarded,,,98,1
awardee,,,2,1
awardees,,,2,1
awarding,,,4,1
awardjohn,,,2,1
awardruth,,,2,1
awards,,,158,1
aware,,,30,1
awareness,,,16,1
away,,,411,1
awe,,,2,1
awesome,,,26,1
awful,,,4,1
awhile,,,8,1
awl,,,2,1
awning,,,2,1
awoke,,,2,1
awry,,,2,1
axis,,,2,1
axle,,,2,1
axmaker,,,2,1
ay,,,2,1
ayala,,,2,1
ayner,,,2,1
ayre,,,2,1
ayutla,,,2,1
az,,,4,1
azkaban,,,2,1
aztlan,,,2,1
azucena,,,2,1
azul,,,4,1
b,,,216,1
ba,,,8,1
baabaa,,,6,1
babcock,,,20,1
babies,,,20,1
baby,,,52,1
babysitter,,,2,1
bac,,,12,1
baccalaureate,,,8,1
bach,,,2,1
